4 9 2022 22:43 Start-up Time: 2.656s Avg: 0.319ms 3134FPS Total: 9279.18s
4 9 2022 22:42 Start-up Time: 2.589s Avg: 0.348ms 2873FPS Total: 7315.92s
4 9 2022 22:42 Start-up Time: 2.578s Avg: 0.287ms 3484FPS Total: 12475.3s
4 9 2022 22:41 Start-up Time: 2.532s Avg: 0.278ms 3597FPS Total: 11603.6s
4 9 2022 22:41 Start-up Time: 2.6s Avg: 0.266ms 3759FPS Total: 7590s
4 9 2022 22:41 Start-up Time: 2.683s Avg: 28.702ms 34FPS Total: 2740.11s
4 9 2022 22:41 Start-up Time: 2.77s Avg: 0.282ms 3546FPS Total: 5865.91s
4 9 2022 22:40 Start-up Time: 2.715s Avg: 0.284ms 3521FPS Total: 7800.2s
4 9 2022 22:36 Start-up Time: 2.731s Avg: 0.341ms 2932FPS Total: 12683.3s
4 9 2022 22:36 Start-up Time: 2.554s Avg: 0.283ms 3533FPS Total: 5221.32s
4 9 2022 22:34 Start-up Time: 2.635s Avg: 0.29ms 3448FPS Total: 16176.1s
4 9 2022 22:34 Start-up Time: 2.584s Avg: 0.274ms 3649FPS Total: 7223.49s
4 9 2022 22:34 Start-up Time: 2.638s Avg: 0.272ms 3676FPS Total: 13742.6s
4 9 2022 22:33 Start-up Time: 2.555s Avg: 0.302ms 3311FPS Total: 12634.9s
4 9 2022 22:33 Start-up Time: 2.522s Avg: 0.273ms 3663FPS Total: 8515.28s
4 9 2022 22:32 Start-up Time: 2.629s Avg: 0.258ms 3875FPS Total: 7089.72s
4 9 2022 22:32 Start-up Time: 2.558s Avg: 0.285ms 3508FPS Total: 10960.7s
4 9 2022 22:32 Start-up Time: 2.694s Avg: 0.289ms 3460FPS Total: 16911.8s
4 9 2022 22:31 Start-up Time: 2.599s Avg: 0.325ms 3076FPS Total: 6928.55s
4 9 2022 22:31 Start-up Time: 2.567s Avg: 0.339ms 2949FPS Total: 12523.5s
4 9 2022 22:31 Start-up Time: 2.506s Avg: 0.321ms 3115FPS Total: 17477.7s
4 9 2022 22:28 Start-up Time: 2.545s Avg: 0.276ms 3623FPS Total: 12372.4s
4 9 2022 22:25 Start-up Time: 2.638s Avg: 0.301ms 3322FPS Total: 24249.8s
4 9 2022 22:25 Start-up Time: 2.546s Avg: 0.297ms 3367FPS Total: 15362.3s
4 9 2022 22:25 Start-up Time: 2.674s Avg: 0.276ms 3623FPS Total: 10807.7s
4 9 2022 22:13 Start-up Time: 2.598s Avg: 0.276ms 3623FPS Total: 7984.88s
4 9 2022 22:13 Start-up Time: 2.574s Avg: 0.288ms 3472FPS Total: 9111.13s
4 9 2022 22:10 Start-up Time: 3.2s Avg: 0.282ms 3546FPS Total: 11192.7s
